keyword,chapters
global energy budget,"Chapter_1, Chapter_2"
effective radiative forcing,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
energy budget,"Chapter_1, Chapter_2, Chapter_3"
estimated uncertainties,"Chapter_1, Chapter_2, Chapter_3"
ocean thermal expansion,"Chapter_1, Chapter_3, Chapter_4, Chapter_5"
human contribution,"Chapter_1, Chapter_3, Chapter_6"
global water cycle,"Chapter_1, Chapter_2, Chapter_3"
total solar irradiance,"Chapter_1, Chapter_2"
E,"Chapter_1, Chapter_4"
Earth system model,"Chapter_1, Chapter_4, Chapter_5, Chapter_6"
cumulative total emissions,"Chapter_1, Chapter_5"
negative emissions,"Chapter_1, Chapter_2, Chapter_5"
IPCC assessment,"Chapter_1, Chapter_3, Chapter_6"
CMIP3 simulations,"Chapter_1, Chapter_3"
global surface temperature warming,"Chapter_1, Chapter_3"
GISTEMP,"Chapter_1, Chapter_2, Chapter_3"
NOAA GlobalTemp,"Chapter_1, Chapter_2"
Cryosphere,"Chapter_1, Chapter_2"
marine heatwaves,"Chapter_1, Chapter_5"
surface ocean,"Chapter_1, Chapter_2, Chapter_3, Chapter_5"
mass,"Chapter_1, Chapter_2, Chapter_3"
spring snow cover,"Chapter_1, Chapter_3"
Antarctic sea ice extent,"Chapter_1, Chapter_2, Chapter_3"
N2O emissions,"Chapter_1, Chapter_5, Chapter_6"
surface cooling,"Chapter_1, Chapter_4, Chapter_6"
carbon content,"Chapter_1, Chapter_5"
maximum temperature,"Chapter_1, Chapter_3, Chapter_4"
global anthropogenic CO2 emissions,"Chapter_1, Chapter_5"
non,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_5"
mean temperature,"Chapter_1, Chapter_3, Chapter_4"
warming,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
acidification,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
oxygen decline,"Chapter_1, Chapter_2, Chapter_5"
Earth system feedbacks,"Chapter_1, Chapter_5, Chapter_6"
Anomalies,"Chapter_1, Chapter_3, Chapter_4, Chapter_5"
seasonality,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
model bias,"Chapter_1, Chapter_4"
relative humidity,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_6"
reference,"Chapter_1, Chapter_3"
global surface warming,"Chapter_1, Chapter_3, Chapter_4, Chapter_5"
land surface air temperature,"Chapter_1, Chapter_5"
LSAT,"Chapter_1, Chapter_2"
SST,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
multiple models,"Chapter_1, Chapter_6"
industrial period,"Chapter_1, Chapter_2, Chapter_4"
atmospheric CO2 levels,"Chapter_1, Chapter_5"
fossil fuel burning,"Chapter_1, Chapter_5"
global temperatures,"Chapter_1, Chapter_2, Chapter_4"
model simulations,"Chapter_1, Chapter_2, Chapter_4"
proxy evidence,"Chapter_1, Chapter_2, Chapter_3"
k Consortium,"Chapter_1, Chapter_2"
climate variable,"Chapter_1, Chapter_4"
solar variations,"Chapter_1, Chapter_3"
North Atlantic Oscillation,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_5"
single climate model,"Chapter_1, Chapter_3, Chapter_4"
large ensemble,"Chapter_1, Chapter_2, Chapter_3, Chapter_4"
decadal time scales,"Chapter_1, Chapter_3, Chapter_4"
decadal trends,"Chapter_1, Chapter_2, Chapter_3, Chapter_5, Chapter_6"
observed,"Chapter_1, Chapter_2, Chapter_3, Chapter_5, Chapter_6"
September sea ice extent,"Chapter_1, Chapter_4"
mitigation activities,"Chapter_1, Chapter_5"
fingerprints,"Chapter_1, Chapter_3"
Central Africa,"Chapter_1, Chapter_2, Chapter_5"
Northern Europe,"Chapter_1, Chapter_4"
temperature changes,"Chapter_1, Chapter_3"
temperature variability,"Chapter_1, Chapter_2, Chapter_3, Chapter_4"
standard deviations,"Chapter_1, Chapter_3"
mean precipitation,"Chapter_1, Chapter_3, Chapter_4"
water mass properties,"Chapter_1, Chapter_3"
historical simulations,"Chapter_1, Chapter_3, Chapter_4"
radiative forcing uncertainty,"Chapter_1, Chapter_6"
emissions scenario,"Chapter_1, Chapter_4, Chapter_5"
large volcanic eruptions,"Chapter_1, Chapter_2, Chapter_4"
plate tectonics,"Chapter_1, Chapter_2"
Pacific Decadal Variability,"Chapter_1, Chapter_2, Chapter_3, Chapter_4"
phasing,"Chapter_1, Chapter_2"
Iceland,"Chapter_1, Chapter_2"
decadal prediction,"Chapter_1, Chapter_4"
emissions pathway,"Chapter_1, Chapter_4"
CMIP6 projections,"Chapter_1, Chapter_4"
ensemble mean,"Chapter_1, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
regional precipitation changes,"Chapter_1, Chapter_3"
regional aerosol emissions,"Chapter_1, Chapter_6"
projected changes,"Chapter_1, Chapter_4"
Tipping Points,"Chapter_1, Chapter_5"
changes,"Chapter_1, Chapter_4, Chapter_5"
forest fires,"Chapter_1, Chapter_5, Chapter_6"
ESM projections,"Chapter_1, Chapter_5"
drought events,"Chapter_1, Chapter_5"
forcing changes,"Chapter_1, Chapter_4"
tipping,"Chapter_1, Chapter_4"
ecosystem responses,"Chapter_1, Chapter_4"
Seneviratne,"Chapter_1, Chapter_3"
observational record,"Chapter_1, Chapter_2, Chapter_3, Chapter_4"
energy efficiency,"Chapter_1, Chapter_6"
external forcing,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_6"
anthropogenic,"Chapter_1, Chapter_3, Chapter_5"
human health,"Chapter_1, Chapter_6"
crop production,"Chapter_1, Chapter_5, Chapter_6"
coverage,"Chapter_1, Chapter_5"
global trends,"Chapter_1, Chapter_2"
interpolation,"Chapter_1, Chapter_2, Chapter_3"
Caribbean,"Chapter_1, Chapter_2, Chapter_4"
Central America,"Chapter_1, Chapter_4"
Spain,"Chapter_1, Chapter_6"
CMIP6 model,"Chapter_1, Chapter_3, Chapter_4"
deserts,"Chapter_1, Chapter_6"
megacities,"Chapter_1, Chapter_6"
Asia,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_6"
Australasia,"Chapter_1, Chapter_5"
Polar Regions,"Chapter_1, Chapter_6"
North American Arctic,"Chapter_1, Chapter_2"
observing systems,"Chapter_1, Chapter_2"
Observing Systems,"Chapter_1, Chapter_4"
ocean observations,"Chapter_1, Chapter_2"
AR6 assessment,"Chapter_1, Chapter_2"
fluxes,"Chapter_1, Chapter_5"
aircraft observations,"Chapter_1, Chapter_2, Chapter_6"
ATom,"Chapter_1, Chapter_6"
commercial aircraft,"Chapter_1, Chapter_2"
upper troposphere,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_6"
data,"Chapter_1, Chapter_2"
Ocean Salinity,"Chapter_1, Chapter_2, Chapter_3"
inland waters,"Chapter_1, Chapter_5"
Ireland,"Chapter_1, Chapter_2, Chapter_4"
historical period,"Chapter_1, Chapter_3, Chapter_4, Chapter_6"
deep convection,"Chapter_1, Chapter_2, Chapter_3, Chapter_5, Chapter_6"
regional ocean circulation,"Chapter_1, Chapter_3"
coastal areas,"Chapter_1, Chapter_5, Chapter_6"
mass balance,"Chapter_1, Chapter_2"
permafrost temperature,"Chapter_1, Chapter_2"
active layer thickness,"Chapter_1, Chapter_2"
snow cover extent,"Chapter_1, Chapter_2, Chapter_3"
bias corrections,"Chapter_1, Chapter_4"
in situ data,"Chapter_1, Chapter_2, Chapter_3"
Longer time series,"Chapter_1, Chapter_2"
snowfall,"Chapter_1, Chapter_3"
CloudSat,"Chapter_1, Chapter_4"
photosynthetic activity,"Chapter_1, Chapter_2"
leaf area index,"Chapter_1, Chapter_3"
absorbed photosynthetically active radiation,"Chapter_1, Chapter_2"
range shifts,"Chapter_1, Chapter_2"
land temperature,"Chapter_1, Chapter_4"
carbon stocks,"Chapter_1, Chapter_5"
Time series,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_5"
Normalized Difference Vegetation Index,"Chapter_1, Chapter_2"
meteorological observations,"Chapter_1, Chapter_2"
El Niño event,"Chapter_1, Chapter_2, Chapter_3"
mortality,"Chapter_1, Chapter_2, Chapter_5"
human disturbance,"Chapter_1, Chapter_4"
Early Eocene Climatic Optimum,"Chapter_1, Chapter_2, Chapter_3, Chapter_4"
borehole data,"Chapter_1, Chapter_2"
geographic distribution,"Chapter_1, Chapter_5"
wildfires,"Chapter_1, Chapter_3, Chapter_5, Chapter_6"
proxy records,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_5"
temporal resolution,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_5"
Earth system processes,"Chapter_1, Chapter_3, Chapter_5"
climate assessment,"Chapter_1, Chapter_6"
ocean climate,"Chapter_1, Chapter_3"
sea level pressure,"Chapter_1, Chapter_2, Chapter_3, Chapter_4"
weak signal,"Chapter_1, Chapter_2"
data assimilation techniques,"Chapter_1, Chapter_6"
reanalysis datasets,"Chapter_1, Chapter_2, Chapter_3"
stratosphere,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
emissions sources,"Chapter_1, Chapter_6"
Copernicus Atmosphere Monitoring Service,"Chapter_1, Chapter_5"
surface energy,"Chapter_1, Chapter_4"
observational error,"Chapter_1, Chapter_3"
Global averages,"Chapter_1, Chapter_2"
precipitation variability,"Chapter_1, Chapter_4"
Instrumental Era,"Chapter_1, Chapter_2"
5,"Chapter_1, Chapter_3, Chapter_4"
atmospheric forcing,"Chapter_1, Chapter_3, Chapter_5"
thermosteric sea level,"Chapter_1, Chapter_3, Chapter_4"
western boundary currents,"Chapter_1, Chapter_2"
AMOC variability,"Chapter_1, Chapter_3"
AMOC strength,"Chapter_1, Chapter_2, Chapter_3"
tree ring width,"Chapter_1, Chapter_3"
ecosystem structure,"Chapter_1, Chapter_5"
Ocean reanalyses,"Chapter_1, Chapter_2"
Global models,"Chapter_1, Chapter_6"
global hydrological cycle,"Chapter_1, Chapter_2, Chapter_3, Chapter_4"
oceanic components,"Chapter_1, Chapter_2"
ocean surface,"Chapter_1, Chapter_2, Chapter_5"
stratospheric processes,"Chapter_1, Chapter_4"
stratopause,"Chapter_1, Chapter_3"
ocean models,"Chapter_1, Chapter_3, Chapter_5"
convection,"Chapter_1, Chapter_2, Chapter_4, Chapter_6"
climatology,"Chapter_1, Chapter_2, Chapter_3, Chapter_6"
cloud microphysics,"Chapter_1, Chapter_4, Chapter_6"
stratigraphy,"Chapter_1, Chapter_2"
glacial isostatic adjustment,"Chapter_1, Chapter_2"
management,"Chapter_1, Chapter_5, Chapter_6"
terrestrial nitrogen cycle,"Chapter_1, Chapter_5"
land carbon cycle,"Chapter_1, Chapter_5, Chapter_6"
land surface processes,"Chapter_1, Chapter_3"
permafrost carbon,"Chapter_1, Chapter_4, Chapter_5"
nutrients,"Chapter_1, Chapter_4, Chapter_5, Chapter_6"
vegetation dynamics,"Chapter_1, Chapter_3, Chapter_5"
dust deposition,"Chapter_1, Chapter_2, Chapter_5"
nitrogen fixation,"Chapter_1, Chapter_6"
iron,"Chapter_1, Chapter_2, Chapter_3"
biogeochemical processes,"Chapter_1, Chapter_2, Chapter_5, Chapter_6"
simulated climate,"Chapter_1, Chapter_3, Chapter_4"
mean climate,"Chapter_1, Chapter_3, Chapter_4"
energy fluxes,"Chapter_1, Chapter_2"
radiative effect,"Chapter_1, Chapter_5, Chapter_6"
ocean temperature,"Chapter_1, Chapter_2, Chapter_3, Chapter_4"
ocean albedo,"Chapter_1, Chapter_4"
cloud properties,"Chapter_1, Chapter_6"
Southern Ocean circulation,"Chapter_1, Chapter_3, Chapter_5"
temperature profiles,"Chapter_1, Chapter_2"
ocean basins,"Chapter_1, Chapter_2, Chapter_3, Chapter_5"
radiative fluxes,"Chapter_1, Chapter_6"
ensemble spread,"Chapter_1, Chapter_4"
atmospheric convection,"Chapter_1, Chapter_3"
Complexity,"Chapter_1, Chapter_6"
sensitivity studies,"Chapter_1, Chapter_5, Chapter_6"
climate responses,"Chapter_1, Chapter_4"
CMIP5 ESMs,"Chapter_1, Chapter_5"
zero carbon emissions,"Chapter_1, Chapter_4"
zero CO2 emissions commitment,"Chapter_1, Chapter_4"
overshoot,"Chapter_1, Chapter_4, Chapter_5"
energy balance,"Chapter_1, Chapter_4"
neural networks,"Chapter_1, Chapter_2"
upwelling,"Chapter_1, Chapter_5"
diffusion,"Chapter_1, Chapter_5"
entrainment,"Chapter_1, Chapter_5"
nitrogen cycle,"Chapter_1, Chapter_3, Chapter_5, Chapter_6"
global mean temperature response,"Chapter_1, Chapter_6"
spatial heterogeneity,"Chapter_1, Chapter_2, Chapter_5, Chapter_6"
climate effects,"Chapter_1, Chapter_4, Chapter_5, Chapter_6"
radiative properties,"Chapter_1, Chapter_5"
forcing agents,"Chapter_1, Chapter_4, Chapter_6"
GSAT change,"Chapter_1, Chapter_3, Chapter_4, Chapter_6"
Mod,"Chapter_1, Chapter_3"
parametrizations,"Chapter_1, Chapter_6"
individual models,"Chapter_1, Chapter_3, Chapter_4"
simulated internal variability,"Chapter_1, Chapter_3"
robust estimates,"Chapter_1, Chapter_3"
CanESM2,"Chapter_1, Chapter_3"
regional modelling,"Chapter_1, Chapter_5"
atmospheric model,"Chapter_1, Chapter_3"
perturbed physics ensemble,"Chapter_1, Chapter_5"
single model,"Chapter_1, Chapter_3, Chapter_5"
climate model uncertainty,"Chapter_1, Chapter_3"
model errors,"Chapter_1, Chapter_3, Chapter_4"
model ensemble,"Chapter_1, Chapter_6"
time evolution,"Chapter_1, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
ensemble average,"Chapter_1, Chapter_3"
ensemble member,"Chapter_1, Chapter_3"
computing power,"Chapter_1, Chapter_3"
control simulation,"Chapter_1, Chapter_4, Chapter_5, Chapter_6"
transient simulation,"Chapter_1, Chapter_4"
historical simulation,"Chapter_1, Chapter_4"
biomass burning emissions,"Chapter_1, Chapter_6"
volcanoes,"Chapter_1, Chapter_6"
AMIP simulations,"Chapter_1, Chapter_3"
optical properties,"Chapter_1, Chapter_2, Chapter_4, Chapter_6"
fractional changes,"Chapter_1, Chapter_4"
CMIP phases,"Chapter_1, Chapter_3"
trends,"Chapter_1, Chapter_2"
Climate Change Detection,"Chapter_1, Chapter_3"
Observations,"Chapter_1, Chapter_5"
observational uncertainty,"Chapter_1, Chapter_2, Chapter_3, Chapter_4"
statistical models,"Chapter_1, Chapter_3, Chapter_6"
mean state,"Chapter_1, Chapter_2, Chapter_3, Chapter_4"
dust emissions,"Chapter_1, Chapter_6"
upper tropospheric humidity,"Chapter_1, Chapter_2"
Climate Feedbacks,"Chapter_1, Chapter_4"
feedback,"Chapter_1, Chapter_4, Chapter_5, Chapter_6"
common biases,"Chapter_1, Chapter_3"
model performance,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_5"
model independence,"Chapter_1, Chapter_4"
Model independence,"Chapter_1, Chapter_4"
Bayesian framework,"Chapter_1, Chapter_3"
CMIP5 climate projections,"Chapter_1, Chapter_4"
aerosol,"Chapter_1, Chapter_3, Chapter_5, Chapter_6"
global mean,"Chapter_1, Chapter_3, Chapter_4, Chapter_5"
idealized scenarios,"Chapter_1, Chapter_4"
sustainability,"Chapter_1, Chapter_5"
SSP2,"Chapter_1, Chapter_6"
regional rivalry,"Chapter_1, Chapter_4, Chapter_6"
SSP3,"Chapter_1, Chapter_6"
net negative emissions,"Chapter_1, Chapter_4, Chapter_5"
feedback mechanisms,"Chapter_1, Chapter_3, Chapter_4"
multiple climate forcings,"Chapter_1, Chapter_4"
hydrochlorofluorocarbons,"Chapter_1, Chapter_2, Chapter_6"
high emissions levels,"Chapter_1, Chapter_5"
simulation protocols,"Chapter_1, Chapter_3"
climate emulators,"Chapter_1, Chapter_5"
Representative Concentration Pathway,"Chapter_1, Chapter_3, Chapter_5, Chapter_6"
scenarios,"Chapter_1, Chapter_4, Chapter_5"
stabilization scenarios,"Chapter_1, Chapter_4"
Special Report,"Chapter_1, Chapter_6"
negative CO2 emissions,"Chapter_1, Chapter_5, Chapter_6"
climate change mitigation scenarios,"Chapter_1, Chapter_6"
geophysical uncertainties,"Chapter_1, Chapter_5"
economic activity,"Chapter_1, Chapter_6"
carbon price,"Chapter_1, Chapter_6"
future scenarios,"Chapter_1, Chapter_4, Chapter_5"
default,"Chapter_1, Chapter_4"
emissions trajectories,"Chapter_1, Chapter_4"
CC,"Chapter_1, Chapter_4, Chapter_5, Chapter_6"
GSAT assessment,"Chapter_1, Chapter_4, Chapter_5"
emissions projections,"Chapter_1, Chapter_6"
radiative forcing level,"Chapter_1, Chapter_4"
carbon,"Chapter_1, Chapter_5, Chapter_6"
reversibility,"Chapter_1, Chapter_4"
ozone precursors,"Chapter_1, Chapter_6"
gridded emissions,"Chapter_1, Chapter_6"
non-methane volatile organic compounds,"Chapter_1, Chapter_6"
VOCs,"Chapter_1, Chapter_6"
total column ozone,"Chapter_1, Chapter_6"
NMVOCs,"Chapter_1, Chapter_6"
Solar Forcing,"Chapter_1, Chapter_4"
solar variability,"Chapter_1, Chapter_2, Chapter_3, Chapter_4"
stratospheric volcanic aerosol,"Chapter_1, Chapter_4"
harmonization,"Chapter_1, Chapter_6"
ozone changes,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_6"
volatile organic compounds,"Chapter_1, Chapter_6"
perfluorocarbons,"Chapter_1, Chapter_2"
hydrofluorocarbons,"Chapter_1, Chapter_2, Chapter_4, Chapter_6"
global mean surface temperature change,"Chapter_1, Chapter_3"
global mean temperature change,"Chapter_1, Chapter_2, Chapter_3, Chapter_4"
GWLs,"Chapter_1, Chapter_4"
ESM simulations,"Chapter_1, Chapter_4, Chapter_5, Chapter_6"
fertilization,"Chapter_1, Chapter_3"
societal impacts,"Chapter_1, Chapter_4"
troposphere,"Chapter_1, Chapter_2, Chapter_3, Chapter_5, Chapter_6"
global distribution,"Chapter_1, Chapter_5, Chapter_6"
Earth system components,"Chapter_1, Chapter_5"
maximum warming,"Chapter_1, Chapter_5"
mitigation strategies,"Chapter_1, Chapter_5"
Carbon Dioxide Removal,"Chapter_1, Chapter_4, Chapter_5"
time horizon,"Chapter_1, Chapter_4"
CDR methods,"Chapter_1, Chapter_5"
natural sinks,"Chapter_1, Chapter_4, Chapter_5"
anthropogenic removals,"Chapter_1, Chapter_5"
afforestation,"Chapter_1, Chapter_4, Chapter_5, Chapter_6"
reforestation,"Chapter_1, Chapter_5"
biochar,"Chapter_1, Chapter_5"
direct air capture,"Chapter_1, Chapter_4, Chapter_5"
storage,"Chapter_1, Chapter_5"
bioenergy,"Chapter_1, Chapter_4, Chapter_5, Chapter_6"
bookkeeping,"Chapter_1, Chapter_5"
risks,"Chapter_1, Chapter_4"
sustainable development goals,"Chapter_1, Chapter_5, Chapter_6"
industrial revolution,"Chapter_1, Chapter_2"
atmospheric abundances,"Chapter_1, Chapter_2, Chapter_6"
soot,"Chapter_1, Chapter_6"
dust,"Chapter_1, Chapter_6"
satellite instruments,"Chapter_1, Chapter_6"
Ice cores,"Chapter_1, Chapter_2"
sediments,"Chapter_1, Chapter_2"
instrumental records,"Chapter_1, Chapter_2, Chapter_3"
geological records,"Chapter_1, Chapter_2"
high northern latitudes,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_5"
temperature increase,"Chapter_1, Chapter_2"
northern latitudes,"Chapter_1, Chapter_2"
high latitudes,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
observed temperature change,"Chapter_1, Chapter_2, Chapter_3"
surface temperature,"Chapter_1, Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
natural factors,"Chapter_1, Chapter_2"
Last Interglacial period,"Chapter_1, Chapter_2, Chapter_3, Chapter_6"
higher latitudes,"Chapter_1, Chapter_2"
Pliocene Epoch,"Chapter_1, Chapter_2"
global ocean temperature observations,"Chapter_1, Chapter_3"
ocean heat content estimates,"Chapter_1, Chapter_3"
continents,"Chapter_1, Chapter_2"
Model dependence,"Chapter_1, Chapter_4"
Temperature,"Chapter_1, Chapter_2, Chapter_4, Chapter_5"
Dust Particles,"Chapter_1, Chapter_6"
hydrologic cycle,"Chapter_1, Chapter_4, Chapter_6"
Proxy evidence,"Chapter_1, Chapter_2, Chapter_4, Chapter_5"
Eocene greenhouse,"Chapter_1, Chapter_2, Chapter_5"
Ocean Components,"Chapter_1, Chapter_5"
Global Carbon Cycle,"Chapter_1, Chapter_5"
CMIP5 Earth System Models,"Chapter_1, Chapter_5"
Northern Hemisphere summer temperatures,"Chapter_1, Chapter_2"
spatially resolved reconstructions,"Chapter_1, Chapter_2"
independence,"Chapter_1, Chapter_4, Chapter_5"
Tropical forests,"Chapter_1, Chapter_3"
carbon source,"Chapter_1, Chapter_3"
Precipitation Extremes,"Chapter_1, Chapter_3, Chapter_4"
global data infrastructure,"Chapter_1, Chapter_4"
Marzeion,"Chapter_1, Chapter_2, Chapter_3"
land ice contribution,"Chapter_1, Chapter_2, Chapter_3"
Southern Hemisphere circulation trends,"Chapter_1, Chapter_3, Chapter_4"
El Niño Southern Oscillation,"Chapter_1, Chapter_2, Chapter_3, Chapter_4"
log,"Chapter_1, Chapter_2"
ENSO reconstructions,"Chapter_1, Chapter_2"
Edge Detection,"Chapter_1, Chapter_4"
Extreme Climate Events,"Chapter_1, Chapter_4"
satellite,"Chapter_1, Chapter_2, Chapter_3, Chapter_6"
climate zones,"Chapter_1, Chapter_2"
ENSO representation,"Chapter_1, Chapter_3"
uncertainty analysis,"Chapter_1, Chapter_6"
Stochastic Parameterization,"Chapter_1, Chapter_4"
CGCM,"Chapter_1, Chapter_3, Chapter_4"
Emulator,"Chapter_1, Chapter_2"
Regionally Optimized Land Temperature Projections,"Chapter_1, Chapter_2"
Atlantic multidecadal oscillation,"Chapter_1, Chapter_3, Chapter_4"
Permafrost,"Chapter_1, Chapter_2, Chapter_5"
meteorology,"Chapter_1, Chapter_6"
Dynamic Meteorology,"Chapter_1, Chapter_2, Chapter_4"
Applied Earth Observations,"Chapter_1, Chapter_2"
CMIP Phases,"Chapter_1, Chapter_3"
Multimodel Climate Projections,"Chapter_1, Chapter_4"
Component Replication,"Chapter_1, Chapter_4"
summer warming,"Chapter_1, Chapter_4"
western Europe,"Chapter_1, Chapter_4, Chapter_5"
Temperature anomalies,"Chapter_1, Chapter_3"
northern hemisphere,"Chapter_1, Chapter_2, Chapter_3"
mass changes,"Chapter_1, Chapter_2"
atmospheric pollution,"Chapter_1, Chapter_6"
Atlantic hurricane activity,"Chapter_1, Chapter_4"
Geochemistry,"Chapter_1, Chapter_2, Chapter_5"
cloud albedo,"Chapter_1, Chapter_4, Chapter_5"
Climate Forcing,"Chapter_1, Chapter_2, Chapter_6"
Anthropogenic Aerosols,"Chapter_1, Chapter_3, Chapter_4"
stratospheric dynamical variability,"Chapter_1, Chapter_3"
millennial timescales,"Chapter_1, Chapter_2"
Arctic sea ice cover,"Chapter_1, Chapter_4"
Sea Level Change,"Chapter_1, Chapter_3, Chapter_4"
burned area,"Chapter_1, Chapter_6"
satellite Earth observation,"Chapter_1, Chapter_6"
Biogeochemical Cycles,"Chapter_1, Chapter_4, Chapter_5, Chapter_6"
climate system models,"Chapter_1, Chapter_4"
Last Glacial Maximum climate simulations,"Chapter_1, Chapter_3"
AerChemMIP,"Chapter_1, Chapter_3, Chapter_4, Chapter_6"
chemistry,"Chapter_1, Chapter_3, Chapter_4, Chapter_6"
Old World megadroughts,"Chapter_1, Chapter_3"
pluvials,"Chapter_1, Chapter_3"
Mediterranean,"Chapter_1, Chapter_2, Chapter_3, Chapter_4"
Glaciology,"Chapter_1, Chapter_2"
Diurnal Cycle,"Chapter_1, Chapter_3"
Routine Benchmarks,"Chapter_1, Chapter_3"
Coverage bias,"Chapter_1, Chapter_3"
HadCRUT4 temperature series,"Chapter_1, Chapter_3"
Trends,"Chapter_1, Chapter_2"
early warning signal,"Chapter_1, Chapter_4"
Northern Hemisphere Atmospheric Blocking Simulation,"Chapter_1, Chapter_4"
Global Response,"Chapter_1, Chapter_4, Chapter_6"
IPCC Special Report,"Chapter_1, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
Irminger Sea,"Chapter_1, Chapter_2"
North American climate,"Chapter_1, Chapter_4"
Interannual Variability,"Chapter_1, Chapter_2, Chapter_3, Chapter_6"
Historical Climate Simulations,"Chapter_1, Chapter_3"
Uncertain Aerosol Forcing,"Chapter_1, Chapter_3"
Climate forcing,"Chapter_1, Chapter_6"
Volcanology,"Chapter_1, Chapter_2"
Climate Change climate models,"Chapter_1, Chapter_4"
Pliocene warmth,"Chapter_1, Chapter_2"
American Geophysical Union,"Chapter_1, Chapter_3, Chapter_4"
idealized,"Chapter_1, Chapter_4"
Maunder Minimum,"Chapter_1, Chapter_2"
human influences,"Chapter_1, Chapter_3"
polar ice,"Chapter_1, Chapter_2"
Robust spatially aggregated projections,"Chapter_1, Chapter_4"
forced response pattern,"Chapter_1, Chapter_4"
Palaeoclimate constraints,"Chapter_1, Chapter_4"
evapotranspiration,"Chapter_1, Chapter_2, Chapter_4, Chapter_5"
water resources,"Chapter_1, Chapter_6"
ERF,"Chapter_2, Chapter_4, Chapter_5, Chapter_6"
MPWP,"Chapter_2, Chapter_5"
NH,"Chapter_2, Chapter_4"
North Atlantic,"Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
PETM,"Chapter_2, Chapter_5"
LDT,"Chapter_2, Chapter_5"
teleconnections,"Chapter_2, Chapter_3, Chapter_4, Chapter_6"
Walker circulation,"Chapter_2, Chapter_3, Chapter_4"
Qu,"Chapter_2, Chapter_4"
Hadley circulation,"Chapter_2, Chapter_3, Chapter_4"
instrumental record,"Chapter_2, Chapter_3, Chapter_4"
AMM,"Chapter_2, Chapter_3, Chapter_4"
Arctic Ocean,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
deglaciation,"Chapter_2, Chapter_3, Chapter_5"
North Atlantic Ocean,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
AMV,"Chapter_2, Chapter_3, Chapter_4"
India,"Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
tropospheric ozone,"Chapter_2, Chapter_4, Chapter_5, Chapter_6"
seasonal cycle,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
proxies,"Chapter_2, Chapter_3, Chapter_6"
El Niño events,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
AZM,"Chapter_2, Chapter_3"
surface temperatures,"Chapter_2, Chapter_3, Chapter_4"
poleward shift,"Chapter_2, Chapter_3, Chapter_4"
ENSO activity,"Chapter_2, Chapter_3"
South Atlantic,"Chapter_2, Chapter_5"
Pacific Decadal Oscillation,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
mass loss,"Chapter_2, Chapter_3"
Last Interglacial,"Chapter_2, Chapter_3"
marine organisms,"Chapter_2, Chapter_5"
Southern Annular Mode,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
CE,"Chapter_2, Chapter_4"
IOD,"Chapter_2, Chapter_3, Chapter_4"
OHC,"Chapter_2, Chapter_4"
Global Biogeochemical Cycles,"Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
interglacial periods,"Chapter_2, Chapter_6"
ocean interior,"Chapter_2, Chapter_5"
phytoplankton,"Chapter_2, Chapter_5"
atmospheric CO2,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
marine sediments,"Chapter_2, Chapter_5"
ice core records,"Chapter_2, Chapter_5"
Ozone Depletion,"Chapter_2, Chapter_3, Chapter_4, Chapter_6"
Russia,"Chapter_2, Chapter_5, Chapter_6"
